OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
2017,"20771,20768,20770,20769,20767",S MASSACHUSETTS ST,498,N,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,1164.18166455358
2018,"6312,6310,6313,6311",40TH AVE NE,1546,N,2015/10/22 00:00:00+00,,,4445,4080,4400,Study - 13-15,,1999.76503728687
2019,13768,YESLER WAY,601,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,421.748561907008
2020,12198,PIKE ST,794,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,322.168975944562
2021,"9815,9816",CORNELL AVE S,54,N,1970/01/01 00:00:00+00,,,1500,,1500,Estimate,,761.673910772369
2022,"14071,14073,14076,14074,14072,14075",EAST GREEN LAKE WAY N,1618,N,2013/01/22 00:00:00+00,,,17040,16928,17000,Study - 13-15,,2861.63486427417
2023,"10963,10964",HOWELL ST,1010,B,1970/01/01 00:00:00+00,,,17500,,17500,Estimate,,645.234065753032
2024,18037,NE PACIFIC PL,1311,N,2013/10/08 00:00:00+00,,,10291,9347,10300,Study - 13-15,,958.722888872438
2025,"10860,10859,10862,10861",HARVARD AVE E,1308,N,2014/10/22 00:00:00+00,,,8688,8053,8700,Study - 13-15,,1787.0804688263
2026,"2763,2764,2762",2ND AVE,951,Y,2015/03/03 00:00:00+00,,,11274,10690,11300,Study - 13-15,,1278.3859316166
2027,"16491,16488,16492,16487,16495,16484,16499,16496,16493,16486,16490,16485,16494,16498,16489",NE 125TH ST,1876,N,2015/07/28 00:00:00+00,,,17719,17780,17700,Study - 13-15,,4028.4790207767
2028,9411,BROAD ST,993,Y,2014/08/18 00:00:00+00,,,7502,6989,7500,Study - 13-15,,322.037795016974
2029,7888,6TH AVE,935,Y,1970/01/01 00:00:00+00,,,9000,,9000,Estimate,,246.180113696916
2030,"4437,4448,4451,4435,4444,4442,4445,4449,4441,4453,4436,4438,4446,4443,4447,4439,4440,4450,4452",3RD AVE NW,1534,N,2015/07/17 00:00:00+00,,,3210,2923,3200,Study - 13-15,,4370.76233826641
2031,"20242,20243,20241,20244",S HENDERSON ST,101,N,2015/07/22 00:00:00+00,,,9392,9151,9400,Study - 13-15,,1585.56311506731
