OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
144,4450010,N,1840,14TH AVE,16,"14TH AVE, N/O E YESLER WAY",2013,1840,7200,313405, ,Y,2319.7598626072
145,80550170,N,11209,LAKE WASHINGTON BLVD E,151,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",2013,11209,18100,313411, ,Y,8760.4163843065
146,31500240,N,6252,4TH AVE S,57,"4TH AVE S, N/O S DAWSON ST",2013,6252,22900,313051,Y,Y,6582.44685758845
147,133200020,N,15656,NE 50TH ST,176,"N 50TH ST, W/O 1ST AVE NE",2013,15656,26800,313146,Y,Y,4488.89504330414
148,52500030,N,8900,AURORA AVE N,,,2012,,74400,311378,,,8798.5768675709
149,102580040,N,13330,WEST SEATTLE BR EB & WB,270,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",2013,13330,93000,313822, ,Y,4775.92542097364
150,,N,9416,BROAD ST,93,"BROAD ST, NE/O DENNY WAY",2013,9416,15300,313482, ,Y,1032.72502987614
151,,Y,12900,STEWART ST,249,"STEWART ST, NE/O 4TH AVE",2013,12900,9800,312151,Y,Y,1610.16664274374
152,,Y,13531,WESTLAKE AVE,276,"WESTLAKE AVE, S/O DENNY WAY",2013,13531,8700,313933, ,Y,1931.62453572968
153,112750300,N,14364,E MADISON ST,118,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2013,14364,14700,311567, ,Y,3528.68698485641
154,27200460,N,5484,35TH AVE SW,50,"35TH AVE SW, N/O SW ROXBURY ST",2013,5484,16500,313041,Y,Y,2685.90334176113
155,63450245,Y,158085,DENNY WAY,108,"DENNY WAY, E/O MINOR AVE",2013,158085,21600,313092,Y,Y,1134.11044108577
156,86950030,N,11911,MONTLAKE BLVD NE,164,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2013,11911,44600,313432, ,Y,3751.85947456787
157,63450135,B,10007,DENNY WAY,112,"DENNY WAY, W/O 6TH AVE",2013,10007,23400,313096,Y,Y,2574.22129473989
158,132850170,N,16854,NE 45TH ST,186,"NE 45TH ST, E/O 16TH AVE NE",2013,16854,23500,311580, ,Y,3377.2988547137
159,86150160,N,11775,MERCER ST,162,"MERCER ST, W/O FAIRVIEW AVE N",2013,11775,49200,311454,Y,Y,1988.34009826912
160,132850100,N,16847,NE 45TH ST,188,"NE 45TH ST, W/O ROOSEVELT WAY NE",2013,16847,35300,313152,Y,Y,2520.90984026272
161,44550180,N,7997,6TH AVE S,70,"6TH AVE S, S/O S FOREST ST",2013,7997,12900,313071,Y,Y,2952.32832695969
162,86850010,N,11902,MONTLAKE BR,165,"MONTLAKE BR, S/O POINT A",2013,11902,56100,313723, ,Y,1362.08121463513
163,77850010,R,489775,STEWART ST RAMP,248,"STEWART ST (OFF&REV) RP, N/O STEWART ST",2013,489775,17200,313483, ,Y,1118.1822105156
164,88150040,N,11970,NICKERSON ST,202,"NICKERSON ST, NW/O FLORENTIA ST",2013,11970,23300,311596,Y,Y,7124.19243802835
165,70000070,N,10638,GILMAN AVE W,136,"GILMAN AVE W, NW/O W EMERSON PL",2013,10638,11900,313446, ,Y,4854.07247940433
166,9550150,Y,2757,2ND AVE,43,"2ND AVE, SE/O PIKE ST",2013,2757,15200,311776,Y,Y,5381.62711198011
167,93450260,N,12364,RAINIER AVE S,215,"RAINIER AVE S, NW/O S MCCLELLAN ST",2013,12364,35000,313462, ,Y,5670.94220634671
168,55650170,Y,9318,BOREN AVE,92,"BOREN AVE, SE/O PIKE ST",2013,9318,20800,313442, ,Y,4223.70513103346
169,162850240,N,20501,S JACKSON ST,234,"S JACKSON ST, W/O 23RD AVE S",2013,20501,6000,313470, ,Y,5318.57412716703
170,127150040,N,16114,N NORTHGATE WAY,182,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2013,16114,19300,313150,Y,Y,4267.85702774814
171,139500020,N,18039,NE PACIFIC ST,201,"NE PACIFIC ST, NE/O 2ND AVE NE",2013,18039,11800,313209,Y,Y,7934.35111199655
172,95950080,N,12762,SEAVIEW AVE NW,244,"SEAVIEW AVE NW, N/O NW 67TH ST",2013,12762,3500,313731, ,Y,16934.4066608771
173,134650290,N,17277,NE 65TH ST,193,"NE 65TH ST, W/O 25TH AVE NE",2013,17277,22700,311584, ,Y,2778.45414905699
174,102580290,N,13333,WEST SEATTLE BR EB & WB,7,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2013,13333,47600,313014,Y, ,7828.25358754657
175,,Y,9414,BROAD ST,94,"BROAD ST, SW/O 3RD AVE",2013,9414,10900,313403, ,Y,1450.24583206245
176,119750210,N,15279,N 145TH ST,172,"N 145TH ST, W/O MERIDIAN AVE N",2013,15279,26200,313443, ,Y,4983.29093829253
177,172350300,N,21625,SW 106TH ST,251,"SW 106TH ST, W/O SEOLA BEACH DR SW",2013,21625,9300,313771, ,Y,3274.92272363715
178,156300030,N,19710,S COLUMBIAN WAY,226,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",2013,19710,38400,313236,Y,Y,4140.24029546617
179,63450200,B,10015,DENNY WAY,110,"DENNY WAY, E/O WESTLAKE AVE",2013,10015,22200,313094,Y,Y,1746.45065065917
180,93150200,N,12312,QUEEN ANNE AVE N,211,"QUEEN ANNE AVE N, S/O CROCKETT ST",2013,12312,9900,312696, ,Y,5505.52887319237
181,3250020,N,1551,12TH AVE E,11,"12TH AVE E, N/O E JOHN ST",2013,1551,7900,311556, ,Y,2417.62749523664
182,82920010,N,11495,M L KING JR WAY E,157,"M L KING JR WAY E, S/O E JOHN ST",2013,11495,7600,313415, ,Y,5599.1511017078
183,165650100,N,20848,S MICHIGAN ST,238,"S MICHIGAN ST, E/O 6TH AVE S",2013,20848,39000,313248,Y,Y,3586.29351019681
184,116900140,N,14946,E YESLER WAY,122,"E YESLER WAY, W/O 23RD AVE",2013,14946,7400,313423, ,Y,6243.1889389161
185,167350150,N,21055,S OTHELLO ST,240,"S OTHELLO ST, E/O 43RD AVE S",2013,21055,7600,311976, ,Y,6539.88964672874
186,2300050,N,1408,11TH AVE NE,10,"11TH AVE NE, S/O NE 45TH ST",2013,1408,11500,313425, ,Y,7370.84136378832
187,94850310,N,12623,ROOSEVELT WAY NE,223,"ROOSEVELT WAY NE, N/O NE 73RD ST",2013,12623,12800,313229,Y,Y,597.649017834874
188,48000400,N,8406,8TH AVE NW,75,"8TH AVE NW, S/O NW 80TH ST",2013,8406,11900,313697, ,Y,14468.6430631516
189,200640,N,1113,1ST AVE NE,27,"1ST AVE NE, S/O NE 145TH ST",2013,1113,5400,311012, ,Y,3986.72548798665
190,174000400,N,21861,FAUNTLEROY FERRY DOCK,254,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",2013,21861,5200,313776, ,Y,304.679593832594
191,157550090,N,19832,S DEARBORN ST,228,"S DEARBORN ST, W/O 13TH AVE S",2013,19832,21700,313242,Y,Y,4409.29152525954
192,38850120,Y,7235,5TH AVE,68,"5TH AVE, SE/O PIKE ST",2013,7235,8100,311640,Y,Y,4844.80853947761
193,93450010,N,12340,RAINIER AVE S,217,"RAINIER AVE S, SE/O BOREN AVE S",2013,12340,29800,313225,Y,Y,2902.00939107233
194,151300110,N,19223,NW MARKET ST,205,"NW MARKET ST, W/O 8TH AVE NW",2013,19223,24300,312792,Y,Y,6251.59244867809
195,121250320,N,15553,N 45TH ST,174,"N 45TH ST, W/O EASTERN AVE N",2013,15553,24500,311602, ,Y,4925.06513857086
196,83150030,N,11604,MAGNOLIA BR,161,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",2013,11604,17400,313131,Y,Y,8172.69442971623
197,104400090,N,13540,WESTLAKE AVE N,275,"WESTLAKE AVE N, S/O HIGHLAND DR",2013,13540,21600,313264,Y,Y,8936.62593137646
198,102580040,N,531032,WEST SEATTLE BR EB & WB,269,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,2013,531032,77200,313847, ,Y,2529.16226095419
199,,Y,13202,UNIVERSITY ST,277,"UNIVERSITY ST, SW/O 4TH AVE",2013,13202,7900,312150, ,Y,644.064862138333
200,139300040,N,18013,NE NORTHGATE WAY,199,"NE NORTHGATE WAY, E/O 5TH AVE NE",2013,18013,27900,313205,Y,Y,2973.23195899429
201,110750030,N,14073,EAST GREEN LAKE WAY N,124,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",2013,14073,15800,312744,Y,Y,5650.60023890402
202,73600060,N,10940,HOLMAN RD NW,141,"HOLMAN RD NW, NE/O 13TH E AVE NW",2013,10940,27800,313116,Y,Y,7786.59339464637
203,83000140,Y,11592,MADISON ST,160,"MADISON ST, NE/O BOREN AVE",2013,11592,27400,311558,Y,Y,1269.95727161444
204,13750030,N,3444,23RD AVE S,35,"23RD AVE S, S/O S JACKSON ST",2013,3444,16100,313029,Y,Y,5429.36245564754
205,116500250,N,14903,E UNION ST,121,"E UNION ST, W/O 26TH AVE",2013,14903,8400,313421, ,Y,5065.0918082782
206,53900160,N,9125,BEACON AVE S,89,"BEACON AVE S, N/O S SPOKANE ST",2013,9125,9400,313456, ,Y,3460.82143499035
207,50500050,Y,8738,ALASKAN WAY S,81,"ALASKAN WAY S, N/O S KING ST",2013,8738,8800,313705, ,Y,5022.6733586054
208,100090,Y,1008,1ST AVE,33,"1ST AVE, SE/O PIKE ST",2013,1008,20400,313529, ,Y,3005.08610044723
209,104200090,Y,13503,WESTERN AVE,274,"WESTERN AVE, NW/O UNION ST",2013,13503,6300,313736, ,Y,4200.0811349748
210,55650010,N,9303,BOREN AVE,91,"BOREN AVE, NW/O E YESLER WAY",2013,9303,17700,313077,Y,Y,3403.67355907684
211,94850600,N,12652,ROOSEVELT WAY NE ,224,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",2013,12652,10200,313230,Y,Y,9284.0371815674
212,68750010,N,10563,FREMONT BR,135,"FREMONT BR, N/O POINT A",2013,10563,30000,312720,Y,Y,1563.83520180417
213,520040,N,1270,1ST AV S BR NB,26,"1ST AV S BR NB & SB, S/O POINT A",2013,1270,89700,313537, ,Y,6772.28437414417
214,133200100,N,16929,NE 50TH ST,189,"NE 50TH ST, W/O ROOSEVELT WAY NE",2013,16929,17300,313154,Y,Y,2477.37512075141
215,31500330,N,6261,4TH AVE S,58,"4TH AVE S, N/O S MICHIGAN ST",2013,6261,17400,313058,Y,Y,3468.62324117411
216,162850080,N,20488,S JACKSON ST,233,"S JACKSON ST, E/O 5TH AVE S",2013,20488,13700,313768, ,Y,5255.77699441979
217,97450080,N,12881,SR509 NB,247,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2013,12881,57900,313732, ,Y,5993.17400336864
218,161550180,N,20241,S HENDERSON ST,231,"S HENDERSON ST, E/O RENTON AVE S",2013,20241,11000,313246,Y,Y,2223.64576048056
219,113000310,N,14409,EAST MARGINAL WAY S,126,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2013,14409,15500,313100,Y,Y,5366.3587690045
220,83030670,N,486569,M L KING JR WAY S NB & SB,156,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",2013,486569,24100,313123, ,Y,7186.56246334046
221,113000390,N,14420,EAST MARGINAL WAY S,127,"EAST MARGINAL WAY S, SE/O BOEING DR",2013,14420,17700,313102,Y,Y,1390.10676232092
222,50450160,Y,269161,ALASKAN WAY,83,"ALASKAN WAY, SE/O PIKE ST",2013,269161,12400,313703, ,Y,2699.04032910445
223,160500030,N,20110,S GRAHAM ST,230,"S GRAHAM ST, E/O SWIFT AVE S",2013,20110,12700,313755, ,Y,5651.07612461468
224,52500700,N,8957,AURORA AVE N,87,"AURORA AVE N, S/O N 80TH ST",2013,8957,28000,313707, ,Y,13102.2169933237
225,52501010,N,8988,AURORA AVE N,85,"AURORA AVE N, S/O N 112TH ST",2013,8988,32800,313436, ,Y,8438.97368800524
226,57900270,N,9555,CALIFORNIA AVE SW,96,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",2013,9555,12300,313473, ,Y,5272.75741863451
227,82930400,N,352636,ML KING JR BLVD S NB & SB,153,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",2013,352636,19400,312946, ,Y,15241.4791417058
228,31500050,N,6230,4TH AVE S,59,"4TH AVE S, S/O 2ND AV ET S",2013,6230,29500,313064,Y,Y,989.412465069063
229,95550230,N,12724,SAND POINT WAY NE,242,"SAND POINT WAY NE, S/O NE 74TH ST",2013,12724,15800,313727, ,Y,2627.99576303644
230,110700050,N,14060,EAST GREEN LAKE DR N,123,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",2013,14060,13700,313440, ,Y,5942.77387874824
231,95550200,N,12722,SAND POINT WAY NE,243,"SAND POINT WAY NE, SW/O NE 65TH ST",2013,12722,14300,313433, ,Y,9653.77166345891
232,82930910,N,489661,M L KING JR WAY S,155,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",2013,489661,31200,313125, ,Y,5307.43389225253
233,118500080,N,519931,N 125TH ST,168,"N 125TH ST, W/O AURORA AVE N",2013,519931,10100,313742, ,Y,2609.62338126094
234,,N,484993,M L KING JR WAY S,154,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",2013,484993,20600,313460, ,Y,7102.2135489261
235,104300010,Y,13524,WESTERN AV OFF RP,273,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",2013,13524,17200,311463, ,Y,800.684096850947
236,97810020,N,490543,SR99 FY,266,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",2013,490543,44900,313524, ,Y,6145.46164538252
237,60150010,Y,9738,COLUMBIA ST ON RP,102,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",2013,9738,14200,310755, ,Y,664.565591660201
